ZIP Code,Type,County,Population,Area Code(s)
ZIP Code 80301,Standard,Boulder,"22,555",303
ZIP Code 80302,Standard,Boulder,"26,941",720
ZIP Code 80303,Standard,Boulder,"22,361",303
ZIP Code 80304,Standard,Boulder,"25,623",303
ZIP Code 80305,Standard,Boulder,"16,874",303
ZIP Code 80306,P.O. Box,Boulder,0,303
ZIP Code 80307,P.O. Box,Boulder,0,303
ZIP Code 80308,P.O. Box,Boulder,0,303
ZIP Code 80309,Unique,Boulder,0,303
ZIP Code 80310,Unique,Boulder,"6,578",303
ZIP Code 80314,Unique,Boulder,0,303
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
