ZIP Code,Type,County,Population,Area Code(s)
ZIP Code 53701,P.O. Box,Dane,0,608
ZIP Code 53702,Unique,Dane,50,608
ZIP Code 53703,Standard,Dane,"27,958",608
ZIP Code 53704,Standard,Dane,"44,034",608
ZIP Code 53705,Standard,Dane,"23,494",608
ZIP Code 53706,Standard,Dane,"5,133",608
ZIP Code 53707,P.O. Box,Dane,0,608
ZIP Code 53708,P.O. Box,Dane,0,608
ZIP Code 53711,Standard,Dane,"45,728",608
ZIP Code 53713,Standard,Dane,"22,146",608
ZIP Code 53714,Standard,Dane,"16,463",608
ZIP Code 53715,Standard,Dane,"12,136",608
ZIP Code 53716,Standard,Dane,"18,419",608
ZIP Code 53717,Standard,Dane,"11,962",608
ZIP Code 53718,Standard,Dane,"11,753",608
ZIP Code 53719,Standard,Dane,"28,487",608
ZIP Code 53725,Standard,Dane,0,608
ZIP Code 53726,Standard,Dane,"5,177",608
ZIP Code 53744,Standard,Dane,0,608
ZIP Code 53774,Unique,Dane,0,608
ZIP Code 53777,Unique,Dane,0,608
ZIP Code 53782,Unique,Dane,0,608
ZIP Code 53783,Unique,Dane,0,608
ZIP Code 53784,Unique,Dane,0,608
ZIP Code 53785,Unique,Dane,0,608
ZIP Code 53786,Unique,Dane,0,608
ZIP Code 53788,Unique,Dane,0,608
ZIP Code 53790,Unique,Dane,0,608
ZIP Code 53791,Unique,Dane,0,608
ZIP Code 53792,Unique,Dane,0,608
ZIP Code 53793,Unique,Dane,0,608
ZIP Code 53794,Unique,Dane,0,608
